제품코드,제품명,제품용량,규격,단일상자환산값,2합환산값,시키리,본부장,JANコード
101003042,辛カップラーメン,68.0,12×2,12.0,24.0,140.0,88.0,8801043030694
101003583,辛ラーメンキムチ カップ　,68.0,12×2,12.0,24.0,140.0,88.0,8801043038096
101004421,辛ラーメン激辛カップ　,68.0,12×2,12.0,24.0,140.0,88.0,8801043052429
101002078,本場韓国コムタンラーメン　,75.0,12×2,12.0,24.0,140.0,88.0,8801043011549
101005016,ノグリラーメンカップ(HOT),62.0,12×2,12.0,24.0,140.0,88.0,8801043059602
101002007,ユッケジャンカップ,86.0,12×2,24.0,24.0,91.0,78.0,8801043010139
101005680,キムチサバルカップ,86.0,12×2,24.0,24.0,91.0,78.0,8801043263085
101002602,辛ラーメンミニカップ,49.0,6×4,24.0,24.0,94.0,76.0,8801043019743
101005144,甘辛ヤンニョムチキンビビン麺カップ24,122.0,12×2,24.0,24.0,185.0,145.0,8801043060844
101004881,チャパグリカップ24入,114.0,12×2,12.0,24.0,185.0,145.0,8801043056793
101005174,辛ラーメン焼きそばカップ24入,103.0,12×2,12.0,24.0,185.0,145.0,8801043062367
101006587,N辛ラーメン焼きそばカップ24入,105.0,12×2,12.0,24.0,185.0,145.0,8801043025348
101005529,辛ラーメンチーズ焼きそばカップ24入,105.0,12×2,12.0,24.0,185.0,145.0,8801043068352
101005378,辛ラーメンバケツカップ24入,114.0,12×2,12.0,24.0,185.0,145.0,8801043025256
101005293,チャパゲティバケツカップ24入,114.0,12×2,12.0,24.0,185.0,145.0,8801043048064
101006160,辛ラーメンバケツカップスパイシーチキン味,114.0,12×2,12.0,24.0,185.0,145.0,8801043070867
101004485,カムジャ麺バケツカップ,90.0,12×2,12.0,24.0,185.0,145.0,8801043022514
101006694,辛ラーメントゥーンババケツカップ,113.0,12×2,12.0,24.0,185.0,145.0,8801043028295
101007308,辛ラーメントゥーンババケツカップ(湯切),113.0,12×2,12.0,24.0,185.0,145.0,8801043054928
101007352,辛ラーメン焼きそばカップ炒めキムチ味,122.0,12×2,12.0,24.0,185.0,145.0,8801043057059
101006355,辛ラーメンバケツカップトムヤムクン味,117.0,12×2,12.0,24.0,190.0,165.0,8801043070973
101006965,辛ラーメン焼きそばバケツカップトムヤムクン味,103.0,12×2,12.0,24.0,190.0,165.0,8801043070997
101005379,ブラックバケツカップ24入,101.0,12×2,12.0,24.0,190.0,165.0,8801043042734
101007071,辛ラーメンブラックカップR,101.0,12×2,12.0,24.0,190.0,165.0,8801043046053
101005164,安城湯麺1P 20×2,125.0,20×2,20.0,40.0,126.0,75.0,8801043157681
101000461,辛ラーメン1P,120.0,30×2,30.0,60.0,126.0,78.0,8801043150606
101004616,辛ラーメンキムチ(袋)1P,120.0,30×2,30.0,60.0,126.0,78.0,8801043054768
101003220,カムジャ麺1P,100.0,20×2,20.0,40.0,141.0,78.0,8801043030793
101002560,本場韓国コムタンラーメン袋1P,111.0,20×2,20.0,40.0,133.0,78.0,8801043019217
101000499,ノグリラーメン1P,120.0,30,30.0,30.0,126.0,78.0,8801043157612
101004575,ノグリラーメンマイルド1P,120.0,30,30.0,30.0,126.0,78.0,8801043157773
101006278,辛ラーメンスパイシーチキン袋1P,120.0,20×2,20.0,40.0,133.0,91.0,8801043069588
101000551,チャパゲティー1P,140.0,30,30.0,30.0,133.0,91.0,8801043157629
101000664,いかチャンポン1P,124.0,30,30.0,30.0,141.0,91.0,8801043157636
